number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.572405406384973,2026-09-15 18:32:50.034934,2026-09-15 18:32:50.844073,0 days 00:00:00.809139,17,5,7,412,COMPLETE
1,0.5585560469772931,2026-09-15 18:32:50.844073,2026-09-15 18:32:51.472436,0 days 00:00:00.628363,13,3,7,313,COMPLETE
2,0.5655104729114081,2026-09-15 18:32:51.472436,2026-09-15 18:32:51.895242,0 days 00:00:00.422806,16,4,4,205,COMPLETE
3,0.5523269699256687,2026-09-15 18:32:51.895242,2026-09-15 18:32:52.590879,0 days 00:00:00.695637,16,2,8,341,COMPLETE
4,0.5648694864749108,2026-09-15 18:32:52.590879,2026-09-15 18:32:53.155270,0 days 00:00:00.564391,18,4,5,283,COMPLETE
5,0.5869727355440901,2026-09-15 18:32:53.155270,2026-09-15 18:32:53.326727,0 days 00:00:00.171457,13,5,10,73,COMPLETE
6,0.56672937805046,2026-09-15 18:32:53.326727,2026-09-15 18:32:53.590600,0 days 00:00:00.263873,6,4,9,125,COMPLETE
7,0.5720333188659827,2026-09-15 18:32:53.590600,2026-09-15 18:32:53.810343,0 days 00:00:00.219743,2,2,4,98,COMPLETE
8,0.5546357997548447,2026-09-15 18:32:53.810343,2026-09-15 18:32:54.459897,0 days 00:00:00.649554,10,1,2,347,COMPLETE
9,0.5594252367482064,2026-09-15 18:32:54.459897,2026-09-15 18:32:54.707417,0 days 00:00:00.247520,9,3,5,107,COMPLETE
10,0.5721764305378749,2026-09-15 18:32:54.707417,2026-09-15 18:32:55.093900,0 days 00:00:00.386483,13,5,10,198,COMPLETE
11,0.5730015803799078,2026-09-15 18:32:55.093900,2026-09-15 18:32:56.000805,0 days 00:00:00.906905,18,5,10,493,COMPLETE
12,0.573697988416943,2026-09-15 18:32:56.000805,2026-09-15 18:32:56.900956,0 days 00:00:00.900151,20,5,10,483,COMPLETE
13,0.5734295704967259,2026-09-15 18:32:56.900956,2026-09-15 18:32:57.821241,0 days 00:00:00.920285,13,5,9,484,COMPLETE
14,0.5674912117216522,2026-09-15 18:32:57.821241,2026-09-15 18:32:58.281092,0 days 00:00:00.459851,20,4,10,220,COMPLETE
15,0.5587976601617172,2026-09-15 18:32:58.282098,2026-09-15 18:32:59.033426,0 days 00:00:00.751328,7,3,8,384,COMPLETE
16,0.5870643031421107,2026-09-15 18:32:59.033426,2026-09-15 18:32:59.204294,0 days 00:00:00.170868,20,5,9,63,COMPLETE
17,0.5782139909877828,2026-09-15 18:32:59.204294,2026-09-15 18:32:59.371246,0 days 00:00:00.166952,4,4,8,54,COMPLETE
18,0.5667715917902248,2026-09-15 18:32:59.371246,2026-09-15 18:32:59.503930,0 days 00:00:00.132684,15,2,9,51,COMPLETE
19,0.5654951552192579,2026-09-15 18:32:59.503930,2026-09-15 18:32:59.878120,0 days 00:00:00.374190,11,5,7,170,COMPLETE
20,0.5550142621408481,2026-09-15 18:32:59.878120,2026-09-15 18:33:00.234223,0 days 00:00:00.356103,8,3,6,157,COMPLETE
21,0.578487512074113,2026-09-15 18:33:00.234223,2026-09-15 18:33:00.404854,0 days 00:00:00.170631,4,4,8,65,COMPLETE
22,0.5694123179876703,2026-09-15 18:33:00.404854,2026-09-15 18:33:00.602294,0 days 00:00:00.197440,5,4,9,78,COMPLETE
23,0.5791143298571381,2026-09-15 18:33:00.602294,2026-09-15 18:33:00.893761,0 days 00:00:00.291467,2,5,8,132,COMPLETE
24,0.5727459800215418,2026-09-15 18:33:00.893761,2026-09-15 18:33:01.190367,0 days 00:00:00.296606,14,5,9,144,COMPLETE
25,0.5687578802438428,2026-09-15 18:33:01.190367,2026-09-15 18:33:01.677814,0 days 00:00:00.487447,11,5,10,233,COMPLETE
26,0.5810188343129927,2026-09-15 18:33:01.678820,2026-09-15 18:33:01.932657,0 days 00:00:00.253837,2,5,8,105,COMPLETE
27,0.5495676383600023,2026-09-15 18:33:01.932657,2026-09-15 18:33:02.144279,0 days 00:00:00.211622,19,1,6,90,COMPLETE
28,0.5597785641076045,2026-09-15 18:33:02.144279,2026-09-15 18:33:02.544709,0 days 00:00:00.400430,9,4,7,185,COMPLETE
29,0.5691201745851963,2026-09-15 18:33:02.545719,2026-09-15 18:33:03.041827,0 days 00:00:00.496108,17,5,9,243,COMPLETE
30,0.5749788725156854,2026-09-15 18:33:03.042832,2026-09-15 18:33:03.312974,0 days 00:00:00.270142,12,5,7,121,COMPLETE
31,0.5772545643711604,2026-09-15 18:33:03.312974,2026-09-15 18:33:03.601169,0 days 00:00:00.288195,2,5,8,136,COMPLETE
32,0.5788139795593525,2026-09-15 18:33:03.601169,2026-09-15 18:33:03.812504,0 days 00:00:00.211335,3,5,8,88,COMPLETE
33,0.5767850332520833,2026-09-15 18:33:03.812504,2026-09-15 18:33:04.066677,0 days 00:00:00.254173,6,5,9,110,COMPLETE
34,0.558223608505232,2026-09-15 18:33:04.066677,2026-09-15 18:33:04.444952,0 days 00:00:00.378275,4,4,7,164,COMPLETE
35,0.5728468686219951,2026-09-15 18:33:04.444952,2026-09-15 18:33:04.980602,0 days 00:00:00.535650,2,5,10,269,COMPLETE
36,0.572698130976513,2026-09-15 18:33:04.980602,2026-09-15 18:33:05.165610,0 days 00:00:00.185008,16,4,8,72,COMPLETE
37,0.5701629939262794,2026-09-15 18:33:05.165610,2026-09-15 18:33:05.462960,0 days 00:00:00.297350,7,4,9,135,COMPLETE
38,0.5820881408919226,2026-09-15 18:33:05.462960,2026-09-15 18:33:05.676163,0 days 00:00:00.213203,3,5,6,102,COMPLETE
39,0.5726221335931633,2026-09-15 18:33:05.676163,2026-09-15 18:33:05.894376,0 days 00:00:00.218213,5,4,5,92,COMPLETE
40,0.5565788377675115,2026-09-15 18:33:05.894376,2026-09-15 18:33:06.491692,0 days 00:00:00.597316,3,2,3,309,COMPLETE
