number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.3963008034981011,2026-09-15 18:31:23.125310,2026-09-15 18:31:23.944788,0 days 00:00:00.819478,17,5,7,412,COMPLETE
1,-0.40699810022761507,2026-09-15 18:31:23.944788,2026-09-15 18:31:24.558478,0 days 00:00:00.613690,13,3,7,313,COMPLETE
2,-0.4020035700663885,2026-09-15 18:31:24.558478,2026-09-15 18:31:24.993192,0 days 00:00:00.434714,16,4,4,205,COMPLETE
3,-0.4083867887812979,2026-09-15 18:31:24.993192,2026-09-15 18:31:25.717152,0 days 00:00:00.723960,16,2,8,341,COMPLETE
4,-0.399222270774723,2026-09-15 18:31:25.717152,2026-09-15 18:31:26.296147,0 days 00:00:00.578995,18,4,5,283,COMPLETE
5,-0.3995094136433255,2026-09-15 18:31:26.296147,2026-09-15 18:31:26.479973,0 days 00:00:00.183826,13,5,10,73,COMPLETE
6,-0.40267723200503586,2026-09-15 18:31:26.479973,2026-09-15 18:31:26.745549,0 days 00:00:00.265576,6,4,9,125,COMPLETE
7,-0.41574772553105627,2026-09-15 18:31:26.745549,2026-09-15 18:31:26.946946,0 days 00:00:00.201397,2,2,4,98,COMPLETE
8,-0.40707014713162115,2026-09-15 18:31:26.946946,2026-09-15 18:31:27.590331,0 days 00:00:00.643385,10,1,2,347,COMPLETE
9,-0.41866751921723466,2026-09-15 18:31:27.590331,2026-09-15 18:31:27.826112,0 days 00:00:00.235781,9,3,5,107,COMPLETE
10,-0.39606904297699747,2026-09-15 18:31:27.826112,2026-09-15 18:31:28.697723,0 days 00:00:00.871611,20,5,7,466,COMPLETE
11,-0.39637400112776455,2026-09-15 18:31:28.697723,2026-09-15 18:31:29.637127,0 days 00:00:00.939404,20,5,7,492,COMPLETE
12,-0.3963553915021228,2026-09-15 18:31:29.638134,2026-09-15 18:31:30.574321,0 days 00:00:00.936187,20,5,7,470,COMPLETE
13,-0.39645422245612316,2026-09-15 18:31:30.574321,2026-09-15 18:31:31.346589,0 days 00:00:00.772268,16,5,9,409,COMPLETE
14,-0.3990489381057087,2026-09-15 18:31:31.346589,2026-09-15 18:31:32.165906,0 days 00:00:00.819317,18,4,6,416,COMPLETE
15,-0.4035799423159439,2026-09-15 18:31:32.165906,2026-09-15 18:31:33.016976,0 days 00:00:00.851070,14,3,8,406,COMPLETE
16,-0.3989796344926016,2026-09-15 18:31:33.016976,2026-09-15 18:31:33.470922,0 days 00:00:00.453946,18,5,6,210,COMPLETE
17,-0.39945662560706824,2026-09-15 18:31:33.470922,2026-09-15 18:31:34.303190,0 days 00:00:00.832268,20,4,2,452,COMPLETE
18,-0.4082156498170637,2026-09-15 18:31:34.303190,2026-09-15 18:31:35.072159,0 days 00:00:00.768969,7,2,8,382,COMPLETE
19,-0.3962842454387183,2026-09-15 18:31:35.072159,2026-09-15 18:31:35.965865,0 days 00:00:00.893706,15,5,10,445,COMPLETE
20,-0.4045089310317815,2026-09-15 18:31:35.965865,2026-09-15 18:31:36.422448,0 days 00:00:00.456583,14,3,10,222,COMPLETE
21,-0.3968500810568399,2026-09-15 18:31:36.422448,2026-09-15 18:31:37.293333,0 days 00:00:00.870885,18,5,9,453,COMPLETE
22,-0.39660356670904723,2026-09-15 18:31:37.293333,2026-09-15 18:31:38.229374,0 days 00:00:00.936041,16,5,5,486,COMPLETE
23,-0.3980236971755071,2026-09-15 18:31:38.229374,2026-09-15 18:31:38.959716,0 days 00:00:00.730342,12,4,6,369,COMPLETE
24,-0.39640737089800343,2026-09-15 18:31:38.959716,2026-09-15 18:31:39.721229,0 days 00:00:00.761513,17,5,10,420,COMPLETE
25,-0.39933257990894416,2026-09-15 18:31:39.721229,2026-09-15 18:31:40.529569,0 days 00:00:00.808340,15,4,8,443,COMPLETE
26,-0.39505163079067823,2026-09-15 18:31:40.529569,2026-09-15 18:31:41.250232,0 days 00:00:00.720663,19,5,3,377,COMPLETE
27,-0.4151980949285228,2026-09-15 18:31:41.250232,2026-09-15 18:31:41.753594,0 days 00:00:00.503362,19,1,3,261,COMPLETE
28,-0.3980236971755071,2026-09-15 18:31:41.753594,2026-09-15 18:31:42.478554,0 days 00:00:00.724960,19,4,3,369,COMPLETE
29,-0.39617316418497356,2026-09-15 18:31:42.478554,2026-09-15 18:31:43.134210,0 days 00:00:00.655656,11,5,4,317,COMPLETE
30,-0.39560656619910367,2026-09-15 18:31:43.134210,2026-09-15 18:31:43.834989,0 days 00:00:00.700779,2,5,3,319,COMPLETE
31,-0.39672596134915755,2026-09-15 18:31:43.834989,2026-09-15 18:31:44.499972,0 days 00:00:00.664983,4,5,3,305,COMPLETE
32,-0.3987788063127708,2026-09-15 18:31:44.499972,2026-09-15 18:31:45.052315,0 days 00:00:00.552343,8,5,4,264,COMPLETE
33,-0.39663530167259103,2026-09-15 18:31:45.052315,2026-09-15 18:31:45.677934,0 days 00:00:00.625619,5,5,3,310,COMPLETE
34,-0.3963463613002964,2026-09-15 18:31:45.678945,2026-09-15 18:31:46.354265,0 days 00:00:00.675320,2,4,4,340,COMPLETE
35,-0.39681219187577543,2026-09-15 18:31:46.354265,2026-09-15 18:31:46.716829,0 days 00:00:00.362564,11,5,2,173,COMPLETE
36,-0.3994368396954003,2026-09-15 18:31:46.716829,2026-09-15 18:31:47.213810,0 days 00:00:00.496981,11,5,5,240,COMPLETE
37,-0.39883713661987547,2026-09-15 18:31:47.213810,2026-09-15 18:31:47.892469,0 days 00:00:00.678659,4,4,3,341,COMPLETE
38,-0.399222270774723,2026-09-15 18:31:47.892469,2026-09-15 18:31:48.465967,0 days 00:00:00.573498,9,4,4,283,COMPLETE
39,-0.3987033775951611,2026-09-15 18:31:48.465967,2026-09-15 18:31:49.236945,0 days 00:00:00.770978,6,4,2,389,COMPLETE
40,-0.39680127089154843,2026-09-15 18:31:49.236945,2026-09-15 18:31:49.570168,0 days 00:00:00.333223,13,5,4,171,COMPLETE
41,-0.3963468967872714,2026-09-15 18:31:49.570168,2026-09-15 18:31:50.414288,0 days 00:00:00.844120,15,5,3,434,COMPLETE
42,-0.3959281172679079,2026-09-15 18:31:50.414288,2026-09-15 18:31:51.060517,0 days 00:00:00.646229,17,5,7,323,COMPLETE
43,-0.3958189896779502,2026-09-15 18:31:51.060517,2026-09-15 18:31:51.717990,0 days 00:00:00.657473,19,5,7,322,COMPLETE
44,-0.39668171031843974,2026-09-15 18:31:51.717990,2026-09-15 18:31:52.300581,0 days 00:00:00.582591,19,5,7,288,COMPLETE
45,-0.396127849548805,2026-09-15 18:31:52.300581,2026-09-15 18:31:52.979017,0 days 00:00:00.678436,17,5,7,328,COMPLETE
46,-0.3952174568054129,2026-09-15 18:31:52.979017,2026-09-15 18:31:53.657163,0 days 00:00:00.678146,20,5,7,360,COMPLETE
47,-0.41023234228609917,2026-09-15 18:31:53.657163,2026-09-15 18:31:54.370866,0 days 00:00:00.713703,19,2,6,361,COMPLETE
48,-0.39547152718109496,2026-09-15 18:31:54.370866,2026-09-15 18:31:55.040123,0 days 00:00:00.669257,17,5,8,356,COMPLETE
49,-0.3959470924063744,2026-09-15 18:31:55.040123,2026-09-15 18:31:55.799499,0 days 00:00:00.759376,20,5,9,392,COMPLETE
50,-0.3982513828094269,2026-09-15 18:31:55.799499,2026-09-15 18:31:56.470588,0 days 00:00:00.671089,17,4,8,355,COMPLETE
51,-0.3955509078388952,2026-09-15 18:31:56.470588,2026-09-15 18:31:57.163396,0 days 00:00:00.692808,17,5,7,343,COMPLETE
52,-0.39665485556800045,2026-09-15 18:31:57.163396,2026-09-15 18:31:57.717723,0 days 00:00:00.554327,18,5,6,294,COMPLETE
53,-0.39624278697475274,2026-09-15 18:31:57.717723,2026-09-15 18:31:58.304628,0 days 00:00:00.586905,19,5,8,333,COMPLETE
54,-0.39519423864548947,2026-09-15 18:31:58.304628,2026-09-15 18:31:59.024377,0 days 00:00:00.719749,20,5,7,378,COMPLETE
55,-0.395345413638092,2026-09-15 18:31:59.024377,2026-09-15 18:31:59.768810,0 days 00:00:00.744433,20,5,8,379,COMPLETE
56,-0.40113057028242133,2026-09-15 18:31:59.768810,2026-09-15 18:32:00.537038,0 days 00:00:00.768228,20,3,9,400,COMPLETE
57,-0.3977233695462654,2026-09-15 18:32:00.537038,2026-09-15 18:32:01.235506,0 days 00:00:00.698468,18,4,8,380,COMPLETE
58,-0.3963739270623119,2026-09-15 18:32:01.236512,2026-09-15 18:32:01.993640,0 days 00:00:00.757128,20,5,8,424,COMPLETE
59,-0.3957528335943247,2026-09-15 18:32:01.993640,2026-09-15 18:32:02.689900,0 days 00:00:00.696260,17,5,7,353,COMPLETE
60,-0.41482491117494386,2026-09-15 18:32:02.689900,2026-09-15 18:32:03.434571,0 days 00:00:00.744671,18,1,6,382,COMPLETE
61,-0.3954539467336938,2026-09-15 18:32:03.434571,2026-09-15 18:32:04.172073,0 days 00:00:00.737502,20,5,7,367,COMPLETE
62,-0.3955420930136834,2026-09-15 18:32:04.172073,2026-09-15 18:32:04.915667,0 days 00:00:00.743594,20,5,7,370,COMPLETE
63,-0.39570951210012323,2026-09-15 18:32:04.915667,2026-09-15 18:32:05.674249,0 days 00:00:00.758582,20,5,8,371,COMPLETE
64,-0.39629577852733694,2026-09-15 18:32:05.674249,2026-09-15 18:32:06.472533,0 days 00:00:00.798284,19,5,7,402,COMPLETE
65,-0.3965673765263194,2026-09-15 18:32:06.472533,2026-09-15 18:32:07.303313,0 days 00:00:00.830780,20,5,9,415,COMPLETE
66,-0.39505139448085985,2026-09-15 18:32:07.303313,2026-09-15 18:32:08.038720,0 days 00:00:00.735407,18,5,6,363,COMPLETE
67,-0.39607374552138536,2026-09-15 18:32:08.038720,2026-09-15 18:32:08.838416,0 days 00:00:00.799696,18,5,5,397,COMPLETE
68,-0.3991818160914951,2026-09-15 18:32:08.838416,2026-09-15 18:32:09.649499,0 days 00:00:00.811083,19,4,6,434,COMPLETE
69,-0.39575711050766677,2026-09-15 18:32:09.649499,2026-09-15 18:32:10.518075,0 days 00:00:00.868576,18,5,6,464,COMPLETE
70,-0.394878061166462,2026-09-15 18:32:10.518075,2026-09-15 18:32:11.249469,0 days 00:00:00.731394,16,5,8,362,COMPLETE
71,-0.3952806747747906,2026-09-15 18:32:11.249469,2026-09-15 18:32:11.941060,0 days 00:00:00.691591,16,5,8,359,COMPLETE
72,-0.3952229752154824,2026-09-15 18:32:11.941060,2026-09-15 18:32:12.663135,0 days 00:00:00.722075,16,5,8,380,COMPLETE
73,-0.3951942386454894,2026-09-15 18:32:12.663135,2026-09-15 18:32:13.412290,0 days 00:00:00.749155,16,5,8,378,COMPLETE
74,-0.39624169930072345,2026-09-15 18:32:13.412290,2026-09-15 18:32:14.209754,0 days 00:00:00.797464,16,5,9,404,COMPLETE
75,-0.40297296206564637,2026-09-15 18:32:14.209754,2026-09-15 18:32:14.384660,0 days 00:00:00.174906,14,4,8,69,COMPLETE
76,-0.3966239457905836,2026-09-15 18:32:14.384660,2026-09-15 18:32:14.960749,0 days 00:00:00.576089,15,5,9,304,COMPLETE
77,-0.3953760578329007,2026-09-15 18:32:14.960749,2026-09-15 18:32:15.630667,0 days 00:00:00.669918,16,5,9,347,COMPLETE
78,-0.39904384950281574,2026-09-15 18:32:15.630667,2026-09-15 18:32:15.786326,0 days 00:00:00.155659,12,4,8,50,COMPLETE
79,-0.39647557756834023,2026-09-15 18:32:15.786326,2026-09-15 18:32:16.548656,0 days 00:00:00.762330,16,5,8,425,COMPLETE
80,-0.3959084910929813,2026-09-15 18:32:16.548656,2026-09-15 18:32:17.271225,0 days 00:00:00.722569,14,5,8,389,COMPLETE
81,-0.39505163079067823,2026-09-15 18:32:17.271225,2026-09-15 18:32:17.977635,0 days 00:00:00.706410,15,5,8,377,COMPLETE
82,-0.3964751607265942,2026-09-15 18:32:17.977635,2026-09-15 18:32:18.627075,0 days 00:00:00.649440,15,5,8,332,COMPLETE
83,-0.3950695212461309,2026-09-15 18:32:18.627075,2026-09-15 18:32:19.356348,0 days 00:00:00.729273,16,5,7,361,COMPLETE
84,-0.39547836673019604,2026-09-15 18:32:19.356348,2026-09-15 18:32:20.109369,0 days 00:00:00.753021,13,5,7,375,COMPLETE
85,-0.39647145551087043,2026-09-15 18:32:20.109369,2026-09-15 18:32:20.914202,0 days 00:00:00.804833,16,5,7,411,COMPLETE
86,-0.39577399156034754,2026-09-15 18:32:20.914202,2026-09-15 18:32:21.638290,0 days 00:00:00.724088,15,5,6,388,COMPLETE
87,-0.4101575534042432,2026-09-15 18:32:21.638290,2026-09-15 18:32:22.297757,0 days 00:00:00.659467,15,2,7,345,COMPLETE
88,-0.394878061166462,2026-09-15 18:32:22.297757,2026-09-15 18:32:22.937634,0 days 00:00:00.639877,17,5,5,362,COMPLETE
89,-0.3952819868085966,2026-09-15 18:32:22.938646,2026-09-15 18:32:23.616655,0 days 00:00:00.678009,17,5,5,365,COMPLETE
90,-0.39595311195759164,2026-09-15 18:32:23.616655,2026-09-15 18:32:24.243398,0 days 00:00:00.626743,18,5,5,336,COMPLETE
91,-0.39582514733827506,2026-09-15 18:32:24.243398,2026-09-15 18:32:24.928896,0 days 00:00:00.685498,17,5,7,350,COMPLETE
92,-0.3961823355250604,2026-09-15 18:32:24.928896,2026-09-15 18:32:25.637491,0 days 00:00:00.708595,16,5,6,395,COMPLETE
93,-0.395345413638092,2026-09-15 18:32:25.637491,2026-09-15 18:32:26.353129,0 days 00:00:00.715638,19,5,7,379,COMPLETE
94,-0.39528067477479073,2026-09-15 18:32:26.353129,2026-09-15 18:32:27.081207,0 days 00:00:00.728078,18,5,8,359,COMPLETE
95,-0.3964542224561232,2026-09-15 18:32:27.081207,2026-09-15 18:32:27.893377,0 days 00:00:00.812170,15,5,2,409,COMPLETE
96,-0.3954995321961981,2026-09-15 18:32:27.893377,2026-09-15 18:32:28.656133,0 days 00:00:00.762756,14,5,6,386,COMPLETE
97,-0.395573511132669,2026-09-15 18:32:28.656133,2026-09-15 18:32:29.400529,0 days 00:00:00.744396,16,5,5,372,COMPLETE
98,-0.4069568964173143,2026-09-15 18:32:29.400529,2026-09-15 18:32:29.998422,0 days 00:00:00.597893,17,3,7,312,COMPLETE
99,-0.39597616903181754,2026-09-15 18:32:29.998422,2026-09-15 18:32:30.596339,0 days 00:00:00.597917,19,5,6,325,COMPLETE
