number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.4756236042915121,2026-09-15 18:26:27.165391,2026-09-15 18:26:27.977812,0 days 00:00:00.812421,17,5,7,412,COMPLETE
1,0.45652186936646855,2026-09-15 18:26:27.977812,2026-09-15 18:26:28.579326,0 days 00:00:00.601514,13,3,7,313,COMPLETE
2,0.47361467820681674,2026-09-15 18:26:28.579326,2026-09-15 18:26:29.022909,0 days 00:00:00.443583,16,4,4,205,COMPLETE
3,0.4692584031927772,2026-09-15 18:26:29.022909,2026-09-15 18:26:29.650647,0 days 00:00:00.627738,16,2,8,341,COMPLETE
4,0.46583146554568877,2026-09-15 18:26:29.650647,2026-09-15 18:26:30.201092,0 days 00:00:00.550445,18,4,5,283,COMPLETE
5,0.4740889301026446,2026-09-15 18:26:30.201092,2026-09-15 18:26:30.368864,0 days 00:00:00.167772,13,5,10,73,COMPLETE
6,0.4809874100511789,2026-09-15 18:26:30.368864,2026-09-15 18:26:30.635255,0 days 00:00:00.266391,6,4,9,125,COMPLETE
7,0.47823762997889824,2026-09-15 18:26:30.635255,2026-09-15 18:26:30.882445,0 days 00:00:00.247190,2,2,4,98,COMPLETE
8,0.43140846904563385,2026-09-15 18:26:30.882445,2026-09-15 18:26:31.574015,0 days 00:00:00.691570,10,1,2,347,COMPLETE
9,0.44870784167143246,2026-09-15 18:26:31.574015,2026-09-15 18:26:31.824985,0 days 00:00:00.250970,9,3,5,107,COMPLETE
10,0.4868200360308285,2026-09-15 18:26:31.824985,2026-09-15 18:26:32.238227,0 days 00:00:00.413242,4,4,10,190,COMPLETE
11,0.4823559278356854,2026-09-15 18:26:32.238227,2026-09-15 18:26:32.604719,0 days 00:00:00.366492,4,4,10,171,COMPLETE
12,0.483450102464787,2026-09-15 18:26:32.604719,2026-09-15 18:26:33.016860,0 days 00:00:00.412141,2,4,10,198,COMPLETE
13,0.47944428863515354,2026-09-15 18:26:33.016860,2026-09-15 18:26:33.468342,0 days 00:00:00.451482,7,5,9,226,COMPLETE
14,0.48523733074925496,2026-09-15 18:26:33.468342,2026-09-15 18:26:34.366228,0 days 00:00:00.897886,2,3,10,497,COMPLETE
15,0.46703063891574886,2026-09-15 18:26:34.366228,2026-09-15 18:26:35.089654,0 days 00:00:00.723426,5,2,8,384,COMPLETE
16,0.4772584880415656,2026-09-15 18:26:35.089654,2026-09-15 18:26:35.954040,0 days 00:00:00.864386,8,3,9,465,COMPLETE
17,0.4545653913719665,2026-09-15 18:26:35.955051,2026-09-15 18:26:36.848043,0 days 00:00:00.892992,4,1,8,474,COMPLETE
18,0.46433697021155157,2026-09-15 18:26:36.848043,2026-09-15 18:26:37.360878,0 days 00:00:00.512835,2,3,7,257,COMPLETE
19,0.44553317000215187,2026-09-15 18:26:37.360878,2026-09-15 18:26:38.147731,0 days 00:00:00.786853,12,3,2,424,COMPLETE
20,0.49003067796980043,2026-09-15 18:26:38.147731,2026-09-15 18:26:38.467842,0 days 00:00:00.320111,20,2,10,150,COMPLETE
21,0.49015364087413493,2026-09-15 18:26:38.467842,2026-09-15 18:26:38.779055,0 days 00:00:00.311213,19,2,10,142,COMPLETE
22,0.4856496799674517,2026-09-15 18:26:38.779055,2026-09-15 18:26:39.092783,0 days 00:00:00.313728,20,2,9,151,COMPLETE
23,0.48790868772743295,2026-09-15 18:26:39.092783,2026-09-15 18:26:39.385968,0 days 00:00:00.293185,20,1,10,147,COMPLETE
24,0.48100318340898646,2026-09-15 18:26:39.385968,2026-09-15 18:26:39.554617,0 days 00:00:00.168649,20,1,9,67,COMPLETE
25,0.45624460090902125,2026-09-15 18:26:39.554617,2026-09-15 18:26:39.850940,0 days 00:00:00.296323,19,1,8,138,COMPLETE
26,0.49045578976301424,2026-09-15 18:26:39.850940,2026-09-15 18:26:40.309398,0 days 00:00:00.458458,15,2,10,237,COMPLETE
27,0.4585916757390412,2026-09-15 18:26:40.309398,2026-09-15 18:26:40.744792,0 days 00:00:00.435394,15,2,6,227,COMPLETE
28,0.4832926706939839,2026-09-15 18:26:40.744792,2026-09-15 18:26:41.241691,0 days 00:00:00.496899,18,2,9,245,COMPLETE
29,0.4576056390396075,2026-09-15 18:26:41.241691,2026-09-15 18:26:41.815121,0 days 00:00:00.573430,15,2,7,291,COMPLETE
30,0.47382883311860563,2026-09-15 18:26:41.815121,2026-09-15 18:26:42.138233,0 days 00:00:00.323112,17,2,8,167,COMPLETE
31,0.48583987080799945,2026-09-15 18:26:42.138233,2026-09-15 18:26:42.382548,0 days 00:00:00.244315,19,1,10,105,COMPLETE
32,0.4913122780482347,2026-09-15 18:26:42.382548,2026-09-15 18:26:42.736467,0 days 00:00:00.353919,20,1,10,166,COMPLETE
33,0.48971212037238204,2026-09-15 18:26:42.736467,2026-09-15 18:26:43.113871,0 days 00:00:00.377404,18,2,9,177,COMPLETE
34,0.492633179420587,2026-09-15 18:26:43.113871,2026-09-15 18:26:43.569216,0 days 00:00:00.455345,16,1,10,217,COMPLETE
35,0.4432877822807733,2026-09-15 18:26:43.569216,2026-09-15 18:26:44.015799,0 days 00:00:00.446583,15,1,7,225,COMPLETE
36,0.4738738541534109,2026-09-15 18:26:44.016804,2026-09-15 18:26:44.603852,0 days 00:00:00.587048,17,1,9,307,COMPLETE
37,0.48432187062418475,2026-09-15 18:26:44.603852,2026-09-15 18:26:45.107229,0 days 00:00:00.503377,14,1,10,259,COMPLETE
38,0.4806629686018131,2026-09-15 18:26:45.107229,2026-09-15 18:26:45.530931,0 days 00:00:00.423702,16,1,9,203,COMPLETE
39,0.4539105243944184,2026-09-15 18:26:45.530931,2026-09-15 18:26:46.186958,0 days 00:00:00.656027,17,2,6,341,COMPLETE
40,0.4364214539850502,2026-09-15 18:26:46.186958,2026-09-15 18:26:46.394623,0 days 00:00:00.207665,13,1,3,85,COMPLETE
41,0.4925595002132092,2026-09-15 18:26:46.394623,2026-09-15 18:26:46.641380,0 days 00:00:00.246757,19,1,10,121,COMPLETE
42,0.4920754082593198,2026-09-15 18:26:46.641380,2026-09-15 18:26:46.890767,0 days 00:00:00.249387,19,1,10,122,COMPLETE
43,0.5051063245194841,2026-09-15 18:26:46.890767,2026-09-15 18:26:47.043187,0 days 00:00:00.152420,18,1,10,52,COMPLETE
44,0.49570180794442514,2026-09-15 18:26:47.043187,2026-09-15 18:26:47.212217,0 days 00:00:00.169030,18,1,10,59,COMPLETE
45,0.4924821299920845,2026-09-15 18:26:47.212217,2026-09-15 18:26:47.349862,0 days 00:00:00.137645,18,1,9,55,COMPLETE
46,0.48567000588865455,2026-09-15 18:26:47.349862,2026-09-15 18:26:47.494803,0 days 00:00:00.144941,18,1,9,50,COMPLETE
47,0.4696938313013506,2026-09-15 18:26:47.495807,2026-09-15 18:26:47.631390,0 days 00:00:00.135583,16,1,8,50,COMPLETE
48,0.43770091143594114,2026-09-15 18:26:47.631390,2026-09-15 18:26:47.844569,0 days 00:00:00.213179,17,1,5,87,COMPLETE
49,0.4810031834089865,2026-09-15 18:26:47.845581,2026-09-15 18:26:48.019888,0 days 00:00:00.174307,11,1,9,67,COMPLETE
50,0.48645268963945076,2026-09-15 18:26:48.019888,2026-09-15 18:26:48.273283,0 days 00:00:00.253395,18,1,10,109,COMPLETE
51,0.4920754082593198,2026-09-15 18:26:48.273283,2026-09-15 18:26:48.541045,0 days 00:00:00.267762,19,1,10,122,COMPLETE
52,0.487944756325503,2026-09-15 18:26:48.541045,2026-09-15 18:26:48.752570,0 days 00:00:00.211525,17,1,10,86,COMPLETE
53,0.48584110881194503,2026-09-15 18:26:48.752570,2026-09-15 18:26:49.008175,0 days 00:00:00.255605,19,1,10,115,COMPLETE
54,0.47599562334701107,2026-09-15 18:26:49.008175,2026-09-15 18:26:49.178218,0 days 00:00:00.170043,18,5,9,60,COMPLETE
55,0.49145994969985796,2026-09-15 18:26:49.178218,2026-09-15 18:26:49.385924,0 days 00:00:00.207706,14,1,10,80,COMPLETE
56,0.475812668006371,2026-09-15 18:26:49.385924,2026-09-15 18:26:49.602026,0 days 00:00:00.216102,16,1,9,99,COMPLETE
57,0.4915381000134273,2026-09-15 18:26:49.602026,2026-09-15 18:26:49.867556,0 days 00:00:00.265530,19,1,10,128,COMPLETE
58,0.4845741598826605,2026-09-15 18:26:49.867556,2026-09-15 18:26:50.041407,0 days 00:00:00.173851,16,1,9,71,COMPLETE
59,0.48405330986514755,2026-09-15 18:26:50.041407,2026-09-15 18:26:50.245019,0 days 00:00:00.203612,18,1,10,97,COMPLETE
60,0.4704431051344804,2026-09-15 18:26:50.245019,2026-09-15 18:26:50.504948,0 days 00:00:00.259929,20,2,4,126,COMPLETE
61,0.4925595002132092,2026-09-15 18:26:50.504948,2026-09-15 18:26:50.757440,0 days 00:00:00.252492,19,1,10,121,COMPLETE
62,0.4983120425403314,2026-09-15 18:26:50.757440,2026-09-15 18:26:50.920222,0 days 00:00:00.162782,19,1,10,57,COMPLETE
63,0.5053293572920862,2026-09-15 18:26:50.920222,2026-09-15 18:26:51.047949,0 days 00:00:00.127727,18,1,10,51,COMPLETE
64,0.4921577752675767,2026-09-15 18:26:51.047949,2026-09-15 18:26:51.233615,0 days 00:00:00.185666,20,1,10,76,COMPLETE
65,0.48489924335420453,2026-09-15 18:26:51.233615,2026-09-15 18:26:51.437762,0 days 00:00:00.204147,19,1,10,93,COMPLETE
66,0.4927351039364871,2026-09-15 18:26:51.437762,2026-09-15 18:26:51.809529,0 days 00:00:00.371767,18,1,10,184,COMPLETE
67,0.4949530277424273,2026-09-15 18:26:51.809529,2026-09-15 18:26:51.971191,0 days 00:00:00.161662,17,2,9,63,COMPLETE
68,0.47532308121706207,2026-09-15 18:26:51.971191,2026-09-15 18:26:52.317756,0 days 00:00:00.346565,16,3,8,188,COMPLETE
69,0.4953624341878111,2026-09-15 18:26:52.317756,2026-09-15 18:26:52.491577,0 days 00:00:00.173821,17,2,9,62,COMPLETE
70,0.48557692662007074,2026-09-15 18:26:52.491577,2026-09-15 18:26:52.661120,0 days 00:00:00.169543,17,3,9,68,COMPLETE
71,0.49975128328066254,2026-09-15 18:26:52.661120,2026-09-15 18:26:52.809100,0 days 00:00:00.147980,17,2,9,50,COMPLETE
72,0.4803131432859293,2026-09-15 18:26:52.809100,2026-09-15 18:26:52.975205,0 days 00:00:00.166105,17,2,8,63,COMPLETE
73,0.49344406286151266,2026-09-15 18:26:52.975205,2026-09-15 18:26:53.181543,0 days 00:00:00.206338,18,2,9,76,COMPLETE
74,0.48825116646779104,2026-09-15 18:26:53.181543,2026-09-15 18:26:53.329904,0 days 00:00:00.148361,17,2,8,50,COMPLETE
75,0.4935647668414898,2026-09-15 18:26:53.329904,2026-09-15 18:26:53.512632,0 days 00:00:00.182728,14,2,9,78,COMPLETE
76,0.4949530277424272,2026-09-15 18:26:53.512632,2026-09-15 18:26:53.682636,0 days 00:00:00.170004,13,2,9,63,COMPLETE
77,0.4676890623178928,2026-09-15 18:26:53.682636,2026-09-15 18:26:53.924113,0 days 00:00:00.241477,11,3,8,103,COMPLETE
78,0.4944369732884333,2026-09-15 18:26:53.924113,2026-09-15 18:26:54.086838,0 days 00:00:00.162725,10,2,9,61,COMPLETE
79,0.4800926305141802,2026-09-15 18:26:54.086838,2026-09-15 18:26:54.238990,0 days 00:00:00.152152,15,2,8,62,COMPLETE
80,0.47409855721385236,2026-09-15 18:26:54.238990,2026-09-15 18:26:54.440912,0 days 00:00:00.201922,12,4,9,91,COMPLETE
81,0.5002994311082657,2026-09-15 18:26:54.440912,2026-09-15 18:26:54.598820,0 days 00:00:00.157908,8,2,9,58,COMPLETE
82,0.4997512832806625,2026-09-15 18:26:54.598820,2026-09-15 18:26:54.739590,0 days 00:00:00.140770,6,2,9,50,COMPLETE
83,0.4997512832806625,2026-09-15 18:26:54.739590,2026-09-15 18:26:54.875997,0 days 00:00:00.136407,7,2,9,50,COMPLETE
84,0.4932088722378758,2026-09-15 18:26:54.875997,2026-09-15 18:26:55.043010,0 days 00:00:00.167013,6,2,9,77,COMPLETE
85,0.4859121245458171,2026-09-15 18:26:55.043010,2026-09-15 18:26:55.745473,0 days 00:00:00.702463,8,2,10,391,COMPLETE
86,0.4985420692767157,2026-09-15 18:26:55.745473,2026-09-15 18:26:55.870960,0 days 00:00:00.125487,7,2,8,51,COMPLETE
87,0.4855703388044077,2026-09-15 18:26:55.870960,2026-09-15 18:26:55.999942,0 days 00:00:00.128982,7,2,7,51,COMPLETE
88,0.4678292055495124,2026-09-15 18:26:55.999942,2026-09-15 18:26:56.217465,0 days 00:00:00.217523,5,3,8,91,COMPLETE
89,0.47008342549174226,2026-09-15 18:26:56.217465,2026-09-15 18:26:56.349944,0 days 00:00:00.132479,7,2,6,50,COMPLETE
90,0.4840719460137281,2026-09-15 18:26:56.349944,2026-09-15 18:26:56.538255,0 days 00:00:00.188311,6,3,10,80,COMPLETE
91,0.4932884065445278,2026-09-15 18:26:56.538255,2026-09-15 18:26:56.708560,0 days 00:00:00.170305,8,2,9,67,COMPLETE
92,0.49599367610708994,2026-09-15 18:26:56.708560,2026-09-15 18:26:56.881443,0 days 00:00:00.172883,5,2,9,72,COMPLETE
93,0.48745036655800317,2026-09-15 18:26:56.881443,2026-09-15 18:26:57.136556,0 days 00:00:00.255113,5,2,10,110,COMPLETE
94,0.49527548735353394,2026-09-15 18:26:57.136556,2026-09-15 18:26:57.310484,0 days 00:00:00.173928,4,2,9,73,COMPLETE
95,0.4770138522521948,2026-09-15 18:26:57.310484,2026-09-15 18:26:57.525297,0 days 00:00:00.214813,7,2,8,87,COMPLETE
96,0.5001454016903767,2026-09-15 18:26:57.525297,2026-09-15 18:26:57.693778,0 days 00:00:00.168481,9,2,10,56,COMPLETE
97,0.5013264517795831,2026-09-15 18:26:57.693778,2026-09-15 18:26:57.862760,0 days 00:00:00.168982,9,2,9,56,COMPLETE
98,0.48658359058614975,2026-09-15 18:26:57.862760,2026-09-15 18:26:58.077431,0 days 00:00:00.214671,9,2,10,100,COMPLETE
99,0.49298660591034943,2026-09-15 18:26:58.077431,2026-09-15 18:26:58.241736,0 days 00:00:00.164305,8,3,9,55,COMPLETE
