number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.6783011130116695,2026-09-15 18:17:32.886818,2026-09-15 18:17:33.716282,0 days 00:00:00.829464,17,5,7,412,COMPLETE
1,0.6819620903401007,2026-09-15 18:17:33.716282,2026-09-15 18:17:34.382162,0 days 00:00:00.665880,13,3,7,313,COMPLETE
2,0.6737584300244324,2026-09-15 18:17:34.382162,2026-09-15 18:17:34.821790,0 days 00:00:00.439628,16,4,4,205,COMPLETE
3,0.6860625935835238,2026-09-15 18:17:34.821790,2026-09-15 18:17:35.516237,0 days 00:00:00.694447,16,2,8,341,COMPLETE
4,0.6778914924081558,2026-09-15 18:17:35.516237,2026-09-15 18:17:36.110940,0 days 00:00:00.594703,18,4,5,283,COMPLETE
5,0.6692774601055739,2026-09-15 18:17:36.110940,2026-09-15 18:17:36.302141,0 days 00:00:00.191201,13,5,10,73,COMPLETE
6,0.6707074789290245,2026-09-15 18:17:36.302141,2026-09-15 18:17:36.594044,0 days 00:00:00.291903,6,4,9,125,COMPLETE
7,0.6898547633339306,2026-09-15 18:17:36.594044,2026-09-15 18:17:36.840201,0 days 00:00:00.246157,2,2,4,98,COMPLETE
8,0.6741280985376803,2026-09-15 18:17:36.840201,2026-09-15 18:17:37.562861,0 days 00:00:00.722660,10,1,2,347,COMPLETE
9,0.6666978219111949,2026-09-15 18:17:37.562861,2026-09-15 18:17:37.810808,0 days 00:00:00.247947,9,3,5,107,COMPLETE
10,0.6855427163247079,2026-09-15 18:17:37.810808,2026-09-15 18:17:38.216631,0 days 00:00:00.405823,3,1,2,193,COMPLETE
11,0.6958183403966816,2026-09-15 18:17:38.216631,2026-09-15 18:17:39.207807,0 days 00:00:00.991176,2,2,8,486,COMPLETE
12,0.6980771532027895,2026-09-15 18:17:39.207807,2026-09-15 18:17:40.162253,0 days 00:00:00.954446,2,2,4,483,COMPLETE
13,0.6835723406103531,2026-09-15 18:17:40.162253,2026-09-15 18:17:41.176480,0 days 00:00:01.014227,5,2,6,497,COMPLETE
14,0.6774736796571094,2026-09-15 18:17:41.176480,2026-09-15 18:17:42.190978,0 days 00:00:01.014498,7,2,3,500,COMPLETE
15,0.6893272598240836,2026-09-15 18:17:42.190978,2026-09-15 18:17:43.040244,0 days 00:00:00.849266,4,1,9,421,COMPLETE
16,0.6958126207350345,2026-09-15 18:17:43.040244,2026-09-15 18:17:43.902583,0 days 00:00:00.862339,2,3,7,421,COMPLETE
17,0.6828055383336736,2026-09-15 18:17:43.902583,2026-09-15 18:17:44.803719,0 days 00:00:00.901136,8,2,6,441,COMPLETE
18,0.6741117396402068,2026-09-15 18:17:44.803719,2026-09-15 18:17:45.605804,0 days 00:00:00.802085,5,1,4,383,COMPLETE
19,0.6811371580878541,2026-09-15 18:17:45.605804,2026-09-15 18:17:46.541556,0 days 00:00:00.935752,12,2,10,469,COMPLETE
20,0.6715686212434627,2026-09-15 18:17:46.541556,2026-09-15 18:17:47.029913,0 days 00:00:00.488357,4,3,8,222,COMPLETE
21,0.6949752725776319,2026-09-15 18:17:47.029913,2026-09-15 18:17:47.963961,0 days 00:00:00.934048,2,3,7,453,COMPLETE
22,0.6910760233667309,2026-09-15 18:17:47.963961,2026-09-15 18:17:48.745500,0 days 00:00:00.781539,2,3,8,381,COMPLETE
23,0.6804381585440095,2026-09-15 18:17:48.745500,2026-09-15 18:17:49.730631,0 days 00:00:00.985131,20,2,5,470,COMPLETE
24,0.6778480229157325,2026-09-15 18:17:49.730631,2026-09-15 18:17:50.586120,0 days 00:00:00.855489,4,4,6,402,COMPLETE
25,0.6781635066740491,2026-09-15 18:17:50.586120,2026-09-15 18:17:51.534668,0 days 00:00:00.948548,7,3,9,439,COMPLETE
26,0.6876565583848434,2026-09-15 18:17:51.534668,2026-09-15 18:17:52.280396,0 days 00:00:00.745728,3,2,7,362,COMPLETE
27,0.6755972526167245,2026-09-15 18:17:52.280396,2026-09-15 18:17:53.228519,0 days 00:00:00.948123,6,1,3,450,COMPLETE
28,0.6921903291147858,2026-09-15 18:17:53.228519,2026-09-15 18:17:54.206811,0 days 00:00:00.978292,2,3,8,494,COMPLETE
29,0.6861067408350247,2026-09-15 18:17:54.206811,2026-09-15 18:17:55.008396,0 days 00:00:00.801585,5,2,7,411,COMPLETE
