number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.3471437141173723,2026-09-15 18:29:10.614722,2026-09-15 18:29:11.393010,0 days 00:00:00.778288,17,5,7,412,COMPLETE
1,-0.33149142909895496,2026-09-15 18:29:11.393010,2026-09-15 18:29:11.979192,0 days 00:00:00.586182,13,3,7,313,COMPLETE
2,-0.3360618851304289,2026-09-15 18:29:11.979192,2026-09-15 18:29:12.406566,0 days 00:00:00.427374,16,4,4,205,COMPLETE
3,-0.33702819695987246,2026-09-15 18:29:12.406566,2026-09-15 18:29:13.098700,0 days 00:00:00.692134,16,2,8,341,COMPLETE
4,-0.3342825951128167,2026-09-15 18:29:13.098700,2026-09-15 18:29:13.622003,0 days 00:00:00.523303,18,4,5,283,COMPLETE
5,-0.3492376434447048,2026-09-15 18:29:13.622003,2026-09-15 18:29:13.801777,0 days 00:00:00.179774,13,5,10,73,COMPLETE
6,-0.3381703238548362,2026-09-15 18:29:13.801777,2026-09-15 18:29:14.058821,0 days 00:00:00.257044,6,4,9,125,COMPLETE
7,-0.34522197952396505,2026-09-15 18:29:14.058821,2026-09-15 18:29:14.272826,0 days 00:00:00.214005,2,2,4,98,COMPLETE
8,-0.357232325027988,2026-09-15 18:29:14.272826,2026-09-15 18:29:14.910690,0 days 00:00:00.637864,10,1,2,347,COMPLETE
9,-0.33435475187093444,2026-09-15 18:29:14.910690,2026-09-15 18:29:15.153357,0 days 00:00:00.242667,9,3,5,107,COMPLETE
10,-0.3325564958559852,2026-09-15 18:29:15.153357,2026-09-15 18:29:15.955182,0 days 00:00:00.801825,13,3,7,444,COMPLETE
11,-0.3314951973362183,2026-09-15 18:29:15.955182,2026-09-15 18:29:16.876554,0 days 00:00:00.921372,13,3,7,489,COMPLETE
12,-0.3362216946589087,2026-09-15 18:29:16.876554,2026-09-15 18:29:17.793224,0 days 00:00:00.916670,20,2,7,485,COMPLETE
13,-0.33796295230204404,2026-09-15 18:29:17.793224,2026-09-15 18:29:18.261715,0 days 00:00:00.468491,12,3,9,226,COMPLETE
14,-0.35977693604516164,2026-09-15 18:29:18.261715,2026-09-15 18:29:19.233349,0 days 00:00:00.971634,6,1,6,500,COMPLETE
15,-0.3359151303750885,2026-09-15 18:29:19.233349,2026-09-15 18:29:19.982214,0 days 00:00:00.748865,14,4,8,384,COMPLETE
16,-0.3335693114735852,2026-09-15 18:29:19.982214,2026-09-15 18:29:20.543814,0 days 00:00:00.561600,8,2,6,291,COMPLETE
17,-0.33337916807777807,2026-09-15 18:29:20.543814,2026-09-15 18:29:20.930188,0 days 00:00:00.386374,11,3,2,191,COMPLETE
18,-0.33702819695987246,2026-09-15 18:29:20.930188,2026-09-15 18:29:21.582029,0 days 00:00:00.651841,15,2,8,341,COMPLETE
19,-0.34318249921589533,2026-09-15 18:29:21.582029,2026-09-15 18:29:22.422910,0 days 00:00:00.840881,19,3,10,442,COMPLETE
20,-0.3357176959438742,2026-09-15 18:29:22.422910,2026-09-15 18:29:22.782273,0 days 00:00:00.359363,7,4,5,161,COMPLETE
21,-0.33256004121390026,2026-09-15 18:29:22.782273,2026-09-15 18:29:23.640101,0 days 00:00:00.857828,13,3,7,453,COMPLETE
22,-0.3322443047610046,2026-09-15 18:29:23.640101,2026-09-15 18:29:24.369651,0 days 00:00:00.729550,11,3,6,404,COMPLETE
23,-0.33247243897758255,2026-09-15 18:29:24.369651,2026-09-15 18:29:25.082694,0 days 00:00:00.713043,11,3,6,391,COMPLETE
24,-0.3305858775082799,2026-09-15 18:29:25.082694,2026-09-15 18:29:25.595470,0 days 00:00:00.512776,9,3,6,252,COMPLETE
25,-0.3317872501495914,2026-09-15 18:29:25.595470,2026-09-15 18:29:26.126454,0 days 00:00:00.530984,9,2,4,252,COMPLETE
26,-0.33788200113079964,2026-09-15 18:29:26.126454,2026-09-15 18:29:26.690816,0 days 00:00:00.564362,4,4,9,303,COMPLETE
27,-0.3347597561594379,2026-09-15 18:29:26.690816,2026-09-15 18:29:27.137356,0 days 00:00:00.446540,15,4,8,241,COMPLETE
28,-0.33450375701440144,2026-09-15 18:29:27.137356,2026-09-15 18:29:27.446381,0 days 00:00:00.309025,9,2,3,146,COMPLETE
29,-0.3456380834909383,2026-09-15 18:29:27.446381,2026-09-15 18:29:28.038060,0 days 00:00:00.591679,17,5,7,317,COMPLETE
30,-0.3307690696710897,2026-09-15 18:29:28.038060,2026-09-15 18:29:28.561146,0 days 00:00:00.523086,12,3,7,264,COMPLETE
31,-0.33127288154217543,2026-09-15 18:29:28.561146,2026-09-15 18:29:29.073673,0 days 00:00:00.512527,12,3,7,255,COMPLETE
32,-0.33001129078298774,2026-09-15 18:29:29.073673,2026-09-15 18:29:29.590024,0 days 00:00:00.516351,12,3,5,264,COMPLETE
33,-0.32994036189172204,2026-09-15 18:29:29.590024,2026-09-15 18:29:30.108014,0 days 00:00:00.517990,10,3,5,269,COMPLETE
34,-0.3319032809821763,2026-09-15 18:29:30.108014,2026-09-15 18:29:30.521219,0 days 00:00:00.413205,10,3,5,202,COMPLETE
35,-0.33494655191030515,2026-09-15 18:29:30.521219,2026-09-15 18:29:30.983670,0 days 00:00:00.462451,7,4,5,225,COMPLETE
36,-0.331869067696221,2026-09-15 18:29:30.983670,2026-09-15 18:29:31.524491,0 days 00:00:00.540821,10,2,3,266,COMPLETE
37,-0.33311160453532085,2026-09-15 18:29:31.524491,2026-09-15 18:29:31.874128,0 days 00:00:00.349637,12,3,4,180,COMPLETE
38,-0.3351106826638827,2026-09-15 18:29:31.874128,2026-09-15 18:29:32.506851,0 days 00:00:00.632723,8,4,5,318,COMPLETE
39,-0.3306714945139359,2026-09-15 18:29:32.506851,2026-09-15 18:29:33.025262,0 days 00:00:00.518411,5,3,6,275,COMPLETE
40,-0.33519550483463706,2026-09-15 18:29:33.025262,2026-09-15 18:29:33.731845,0 days 00:00:00.706583,3,4,3,364,COMPLETE
41,-0.33067414275601253,2026-09-15 18:29:33.731845,2026-09-15 18:29:34.275351,0 days 00:00:00.543506,6,3,6,276,COMPLETE
42,-0.3300236672036485,2026-09-15 18:29:34.275351,2026-09-15 18:29:34.825527,0 days 00:00:00.550176,5,3,6,283,COMPLETE
43,-0.3309170803402938,2026-09-15 18:29:34.825527,2026-09-15 18:29:35.277671,0 days 00:00:00.452144,4,3,4,229,COMPLETE
44,-0.33396701375383575,2026-09-15 18:29:35.277671,2026-09-15 18:29:35.866147,0 days 00:00:00.588476,5,2,6,293,COMPLETE
45,-0.3349812857122572,2026-09-15 18:29:35.866147,2026-09-15 18:29:36.477669,0 days 00:00:00.611522,2,3,5,334,COMPLETE
46,-0.33068993528415813,2026-09-15 18:29:36.477669,2026-09-15 18:29:37.062458,0 days 00:00:00.584789,5,3,6,279,COMPLETE
47,-0.34891640730946566,2026-09-15 18:29:37.062458,2026-09-15 18:29:37.516769,0 days 00:00:00.454311,7,5,5,216,COMPLETE
48,-0.3318052200481627,2026-09-15 18:29:37.516769,2026-09-15 18:29:38.004423,0 days 00:00:00.487654,8,2,4,244,COMPLETE
49,-0.3312952492107186,2026-09-15 18:29:38.004423,2026-09-15 18:29:38.731308,0 days 00:00:00.726885,5,3,6,371,COMPLETE
50,-0.3587198449707924,2026-09-15 18:29:38.731308,2026-09-15 18:29:39.310812,0 days 00:00:00.579504,3,1,5,310,COMPLETE
51,-0.33068993528415813,2026-09-15 18:29:39.310812,2026-09-15 18:29:39.819944,0 days 00:00:00.509132,6,3,6,279,COMPLETE
52,-0.3304310172777946,2026-09-15 18:29:39.819944,2026-09-15 18:29:40.348006,0 days 00:00:00.528062,6,3,6,271,COMPLETE
53,-0.33042315692642593,2026-09-15 18:29:40.348006,2026-09-15 18:29:40.887609,0 days 00:00:00.539603,8,3,6,298,COMPLETE
54,-0.330231617150834,2026-09-15 18:29:40.887609,2026-09-15 18:29:41.452739,0 days 00:00:00.565130,9,3,5,301,COMPLETE
55,-0.3346896437811692,2026-09-15 18:29:41.452739,2026-09-15 18:29:42.093356,0 days 00:00:00.640617,10,4,5,338,COMPLETE
56,-0.33042315692642593,2026-09-15 18:29:42.093356,2026-09-15 18:29:42.665527,0 days 00:00:00.572171,8,3,4,298,COMPLETE
57,-0.3311116128409255,2026-09-15 18:29:42.665527,2026-09-15 18:29:43.245489,0 days 00:00:00.579962,9,3,4,325,COMPLETE
58,-0.3322008350237834,2026-09-15 18:29:43.245489,2026-09-15 18:29:43.934803,0 days 00:00:00.689314,8,2,4,354,COMPLETE
59,-0.33528123767660634,2026-09-15 18:29:43.934803,2026-09-15 18:29:44.494586,0 days 00:00:00.559783,11,4,3,294,COMPLETE
60,-0.33041627533630663,2026-09-15 18:29:44.495592,2026-09-15 18:29:45.081488,0 days 00:00:00.585896,7,3,5,302,COMPLETE
61,-0.33075145256690774,2026-09-15 18:29:45.081488,2026-09-15 18:29:45.638290,0 days 00:00:00.556802,7,3,5,297,COMPLETE
62,-0.3305053499354475,2026-09-15 18:29:45.638290,2026-09-15 18:29:46.240580,0 days 00:00:00.602290,8,3,5,307,COMPLETE
63,-0.3308322920132524,2026-09-15 18:29:46.241592,2026-09-15 18:29:46.828129,0 days 00:00:00.586537,10,3,4,332,COMPLETE
64,-0.33015632517261256,2026-09-15 18:29:46.828129,2026-09-15 18:29:47.303603,0 days 00:00:00.475474,9,3,5,236,COMPLETE
65,-0.33014803690980327,2026-09-15 18:29:47.303603,2026-09-15 18:29:47.775745,0 days 00:00:00.472142,9,3,5,235,COMPLETE
66,-0.3303717104643739,2026-09-15 18:29:47.775745,2026-09-15 18:29:48.247661,0 days 00:00:00.471916,14,3,5,237,COMPLETE
