number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.6369995847985114,2026-09-15 18:17:10.070168,2026-09-15 18:17:10.928561,0 days 00:00:00.858393,17,5,7,412,COMPLETE
1,0.6334204650186277,2026-09-15 18:17:10.928561,2026-09-15 18:17:11.580949,0 days 00:00:00.652388,13,3,7,313,COMPLETE
2,0.6317856955046494,2026-09-15 18:17:11.580949,2026-09-15 18:17:12.028157,0 days 00:00:00.447208,16,4,4,205,COMPLETE
3,0.6430035000774902,2026-09-15 18:17:12.028157,2026-09-15 18:17:12.745109,0 days 00:00:00.716952,16,2,8,341,COMPLETE
4,0.6334006286448677,2026-09-15 18:17:12.745109,2026-09-15 18:17:13.340524,0 days 00:00:00.595415,18,4,5,283,COMPLETE
5,0.6354993530627874,2026-09-15 18:17:13.340524,2026-09-15 18:17:13.523527,0 days 00:00:00.183003,13,5,10,73,COMPLETE
6,0.6295449559663943,2026-09-15 18:17:13.523527,2026-09-15 18:17:13.811181,0 days 00:00:00.287654,6,4,9,125,COMPLETE
7,0.6381372198411022,2026-09-15 18:17:13.811181,2026-09-15 18:17:14.039813,0 days 00:00:00.228632,2,2,4,98,COMPLETE
8,0.6062847908788693,2026-09-15 18:17:14.039813,2026-09-15 18:17:14.764315,0 days 00:00:00.724502,10,1,2,347,COMPLETE
9,0.6216525922290389,2026-09-15 18:17:14.764315,2026-09-15 18:17:15.013598,0 days 00:00:00.249283,9,3,5,107,COMPLETE
10,0.6270931397460471,2026-09-15 18:17:15.013598,2026-09-15 18:17:15.899550,0 days 00:00:00.885952,20,1,8,447,COMPLETE
11,0.6371027735374168,2026-09-15 18:17:15.899550,2026-09-15 18:17:16.345371,0 days 00:00:00.445821,2,2,2,205,COMPLETE
12,0.6193521173967753,2026-09-15 18:17:16.345371,2026-09-15 18:17:16.803335,0 days 00:00:00.457964,3,2,4,201,COMPLETE
13,0.6404240543893841,2026-09-15 18:17:16.803335,2026-09-15 18:17:17.592287,0 days 00:00:00.788952,6,2,6,367,COMPLETE
14,0.6437263333173643,2026-09-15 18:17:17.592287,2026-09-15 18:17:18.616173,0 days 00:00:01.023886,7,2,7,500,COMPLETE
15,0.6300944386256443,2026-09-15 18:17:18.616173,2026-09-15 18:17:19.552082,0 days 00:00:00.935909,14,1,9,448,COMPLETE
16,0.635266892426679,2026-09-15 18:17:19.552082,2026-09-15 18:17:20.507605,0 days 00:00:00.955523,7,3,8,473,COMPLETE
17,0.644377727132107,2026-09-15 18:17:20.507605,2026-09-15 18:17:21.287813,0 days 00:00:00.780208,11,2,7,389,COMPLETE
18,0.6194024046704492,2026-09-15 18:17:21.287813,2026-09-15 18:17:22.094214,0 days 00:00:00.806401,8,1,6,401,COMPLETE
19,0.6443218017838362,2026-09-15 18:17:22.094214,2026-09-15 18:17:23.106827,0 days 00:00:01.012613,12,2,7,492,COMPLETE
20,0.6370354642479727,2026-09-15 18:17:23.106827,2026-09-15 18:17:23.921349,0 days 00:00:00.814522,11,3,10,394,COMPLETE
21,0.6440271913305676,2026-09-15 18:17:23.921349,2026-09-15 18:17:24.921840,0 days 00:00:01.000491,12,2,7,493,COMPLETE
22,0.6402299640465529,2026-09-15 18:17:24.921840,2026-09-15 18:17:25.902143,0 days 00:00:00.980303,11,2,6,484,COMPLETE
23,0.6248089325844314,2026-09-15 18:17:25.902143,2026-09-15 18:17:26.762265,0 days 00:00:00.860122,14,1,7,434,COMPLETE
24,0.6430012306696332,2026-09-15 18:17:26.763272,2026-09-15 18:17:27.690197,0 days 00:00:00.926925,12,2,9,454,COMPLETE
25,0.6337169384228806,2026-09-15 18:17:27.690197,2026-09-15 18:17:28.714858,0 days 00:00:01.024661,10,3,5,497,COMPLETE
26,0.6456695399337572,2026-09-15 18:17:28.714858,2026-09-15 18:17:29.472507,0 days 00:00:00.757649,14,2,8,377,COMPLETE
27,0.6300351228511919,2026-09-15 18:17:29.472507,2026-09-15 18:17:29.994690,0 days 00:00:00.522183,15,3,8,248,COMPLETE
28,0.6324052291861736,2026-09-15 18:17:29.994690,2026-09-15 18:17:30.750082,0 days 00:00:00.755392,19,1,9,369,COMPLETE
29,0.6440355755511183,2026-09-15 18:17:30.750082,2026-09-15 18:17:31.598590,0 days 00:00:00.848508,17,2,8,416,COMPLETE
