number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.7393419805663562,2026-09-15 18:27:51.457588,2026-09-15 18:27:52.219541,0 days 00:00:00.761953,17,5,7,412,COMPLETE
1,0.7568218824391572,2026-09-15 18:27:52.219541,2026-09-15 18:27:52.868176,0 days 00:00:00.648635,13,3,7,313,COMPLETE
2,0.7516278371465516,2026-09-15 18:27:52.869182,2026-09-15 18:27:53.282704,0 days 00:00:00.413522,16,4,4,205,COMPLETE
3,0.7482285815087414,2026-09-15 18:27:53.282704,2026-09-15 18:27:53.935289,0 days 00:00:00.652585,16,2,8,341,COMPLETE
4,0.7547497748507607,2026-09-15 18:27:53.935289,2026-09-15 18:27:54.479421,0 days 00:00:00.544132,18,4,5,283,COMPLETE
5,0.7377783884601414,2026-09-15 18:27:54.479421,2026-09-15 18:27:54.650151,0 days 00:00:00.170730,13,5,10,73,COMPLETE
6,0.7506898820831983,2026-09-15 18:27:54.650151,2026-09-15 18:27:54.911129,0 days 00:00:00.260978,6,4,9,125,COMPLETE
7,0.734535452789102,2026-09-15 18:27:54.911129,2026-09-15 18:27:55.119940,0 days 00:00:00.208811,2,2,4,98,COMPLETE
8,0.723161555108351,2026-09-15 18:27:55.119940,2026-09-15 18:27:55.785924,0 days 00:00:00.665984,10,1,2,347,COMPLETE
9,0.7531310608559725,2026-09-15 18:27:55.785924,2026-09-15 18:27:56.021255,0 days 00:00:00.235331,9,3,5,107,COMPLETE
10,0.7551874182701465,2026-09-15 18:27:56.021255,2026-09-15 18:27:56.883542,0 days 00:00:00.862287,13,3,7,444,COMPLETE
11,0.7570648872624797,2026-09-15 18:27:56.883542,2026-09-15 18:27:57.770326,0 days 00:00:00.886784,13,3,7,489,COMPLETE
12,0.7483212745458179,2026-09-15 18:27:57.770326,2026-09-15 18:27:58.655965,0 days 00:00:00.885639,20,2,7,485,COMPLETE
13,0.7491594422994549,2026-09-15 18:27:58.655965,2026-09-15 18:27:59.120698,0 days 00:00:00.464733,12,3,9,226,COMPLETE
14,0.7199429465619988,2026-09-15 18:27:59.120698,2026-09-15 18:28:00.092781,0 days 00:00:00.972083,6,1,6,500,COMPLETE
15,0.751686234610616,2026-09-15 18:28:00.092781,2026-09-15 18:28:00.852388,0 days 00:00:00.759607,14,4,8,384,COMPLETE
16,0.7523334133654105,2026-09-15 18:28:00.852388,2026-09-15 18:28:01.424823,0 days 00:00:00.572435,8,2,6,291,COMPLETE
17,0.7533048923486377,2026-09-15 18:28:01.424823,2026-09-15 18:28:01.837518,0 days 00:00:00.412695,11,3,2,191,COMPLETE
18,0.7482285815087413,2026-09-15 18:28:01.837518,2026-09-15 18:28:02.445329,0 days 00:00:00.607811,15,2,8,341,COMPLETE
19,0.7430449065330625,2026-09-15 18:28:02.445329,2026-09-15 18:28:03.294292,0 days 00:00:00.848963,19,3,10,442,COMPLETE
20,0.7518103192479093,2026-09-15 18:28:03.294292,2026-09-15 18:28:03.630643,0 days 00:00:00.336351,7,4,5,161,COMPLETE
21,0.7552086994418451,2026-09-15 18:28:03.630643,2026-09-15 18:28:04.475046,0 days 00:00:00.844403,13,3,7,453,COMPLETE
22,0.7565887907104809,2026-09-15 18:28:04.475046,2026-09-15 18:28:05.355094,0 days 00:00:00.880048,11,3,6,456,COMPLETE
23,0.7548149132515114,2026-09-15 18:28:05.355094,2026-09-15 18:28:06.138401,0 days 00:00:00.783307,11,3,6,391,COMPLETE
